"score","medication","name"
100,"BusPIRone HCl 7.5 MG Oral Tablet","buspirone hydrochloride 7.5 MG Oral Tablet"
100,"Butorphanol Tartrate 10 MG/ML Nasal Solution","Butorphanol Tartrate 10 MG/ML Nasal Spray"
100,"Bystolic 10 MG Oral Tablet","nebivolol 10 MG Oral Tablet [Bystolic]"
100,"Bystolic 2.5 MG Oral Tablet","nebivolol 2.5 MG Oral Tablet [Bystolic]"
100,"Bystolic 20 MG Oral Tablet","nebivolol 20 MG Oral Tablet [Bystolic]"
100,"Bystolic 5 MG Oral Tablet","nebivolol 5 MG Oral Tablet [Bystolic]"
100,"Cabergoline 0.5 MG Oral Tablet","cabergoline 0.5 MG Oral Tablet"
100,"Caduet 10-10 MG Oral Tablet","Amlodipine 10 MG / atorvastatin 10 MG Oral Tablet [Caduet]"
100,"Caduet 10-20 MG Oral Tablet","Amlodipine 10 MG / atorvastatin 20 MG Oral Tablet [Caduet]"
100,"Caduet 10-40 MG Oral Tablet","Amlodipine 10 MG / atorvastatin 40 MG Oral Tablet [Caduet]"
100,"Calcitonin (Salmon) 200 UNIT/ACT Nasal Solution","salmon calcitonin 200 UNT/ACTUAT Nasal Spray"
100,"Calcitriol 0.25 MCG Oral Capsule","Calcitriol 0.00025 MG Oral Capsule"
100,"Calcitriol 0.5 MCG Oral Capsule","Calcitriol 0.0005 MG Oral Capsule"
100,"Calcitriol 1 MCG/ML Oral Solution","Calcitriol 0.001 MG/ML Oral Solution"
100,"Calcium Carbonate 1250 MG/5ML Oral Suspension","Calcium Carbonate 250 MG/ML Oral Suspension"
100,"Calcium Carbonate Antacid 500 MG Oral Tablet Chewable","Calcium Carbonate 500 MG Chewable Tablet"
100,"Captopril 12.5 MG Oral Tablet","Captopril 12.5 MG Oral Tablet"
100,"Captopril 25 MG Oral Tablet","Captopril 25 MG Oral Tablet"
100,"Captopril 50 MG Oral Tablet","Captopril 50 MG Oral Tablet"
100,"Carafate 1 GM/10ML Oral Suspension","Sucralfate 100 MG/ML Oral Suspension [Carafate]"
100,"CarBAMazepine 100 MG Oral Tablet Chewable","Carbamazepine 100 MG Chewable Tablet"
100,"CarBAMazepine 100 MG/5ML Oral Suspension","Carbamazepine 20 MG/ML Oral Suspension"
100,"CarBAMazepine 200 MG Oral Tablet","Carbamazepine 200 MG Oral Tablet"
100,"CarBAMazepine 200 MG Oral Tablet Extended Release 12 Hour","12 HR Carbamazepine 200 MG Extended Release Oral Tablet"
100,"CarBAMazepine 400 MG Oral Tablet Extended Release 12 Hour","12 HR Carbamazepine 400 MG Extended Release Oral Tablet"
100,"Carbamide Peroxide 6.5 % Otic Solution","carbamide peroxide 65 MG/ML Otic Solution"
100,"Carbatrol 200 MG Oral Capsule Extended Release 12 Hour","12 HR Carbamazepine 200 MG Extended Release Oral Capsule [Carbatrol]"
100,"Carbatrol 300 MG Oral Capsule Extended Release 12 Hour","12 HR Carbamazepine 300 MG Extended Release Oral Capsule [Carbatrol]"
100,"Cardizem CD 360 MG Oral Capsule Extended Release 24 Hour","24 HR Diltiazem Hydrochloride 360 MG Extended Release Oral Capsule [Cardizem]"
100,"Cardizem LA 120 MG Oral Tablet Extended Release 24 Hour","24 HR Diltiazem Hydrochloride 120 MG Extended Release Oral Tablet [Cardizem]"
100,"Cardizem LA 180 MG Oral Tablet Extended Release 24 Hour","24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Tablet [Cardizem]"
100,"Cardura XL 8 MG Oral Tablet Extended Release 24 Hour","24 HR Doxazosin 8 MG Extended Release Oral Tablet [Cardura]"
100,"Carisoprodol 350 MG Oral Tablet","Carisoprodol 350 MG Oral Tablet"
100,"Cartia XT 120 MG Oral Capsule Extended Release 24 Hour","24 HR Diltiazem Hydrochloride 120 MG Extended Release Oral Capsule [Cartia]"
100,"Cartia XT 180 MG Oral Capsule Extended Release 24 Hour","24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Capsule [Cartia]"
100,"Cartia XT 240 MG Oral Capsule Extended Release 24 Hour","24 HR Diltiazem Hydrochloride 240 MG Extended Release Oral Capsule [Cartia]"
100,"Carvedilol 12.5 MG Oral Tablet","carvedilol 12.5 MG Oral Tablet"
100,"Carvedilol 25 MG Oral Tablet","carvedilol 25 MG Oral Tablet"
100,"Carvedilol 3.125 MG Oral Tablet","carvedilol 3.125 MG Oral Tablet"
100,"Carvedilol 6.25 MG Oral Tablet","carvedilol 6.25 MG Oral Tablet"
100,"Cefadroxil 500 MG Oral Capsule","Cefadroxil 500 MG Oral Capsule"
100,"Cefdinir 300 MG Oral Capsule","cefdinir 300 MG Oral Capsule"
100,"Cefpodoxime Proxetil 100 MG Oral Tablet","cefpodoxime 100 MG Oral Tablet"
100,"Cefpodoxime Proxetil 200 MG Oral Tablet","cefpodoxime 200 MG Oral Tablet"
100,"Cefuroxime Axetil 250 MG Oral Tablet","Cefuroxime 250 MG Oral Tablet"
100,"Cefuroxime Axetil 500 MG Oral Tablet","Cefuroxime 500 MG Oral Tablet"
100,"CeleBREX 100 MG Oral Capsule","celecoxib 100 MG Oral Capsule [Celebrex]"
100,"CeleBREX 200 MG Oral Capsule","celecoxib 200 MG Oral Capsule [Celebrex]"
100,"CeleBREX 400 MG Oral Capsule","celecoxib 400 MG Oral Capsule [Celebrex]"
100,"CeleXA 10 MG Oral Tablet","Citalopram 10 MG Oral Tablet [Celexa]"
100,"CeleXA 20 MG Oral Tablet","Citalopram 20 MG Oral Tablet [Celexa]"
100,"CellCept 500 MG Oral Tablet","mycophenolate mofetil 500 MG Oral Tablet [Cellcept]"
100,"Cenestin 0.3 MG Oral Tablet","synthetic conjugated estrogens, A 0.3 MG Oral Tablet [Cenestin]"
100,"Cephalexin 250 MG Oral Capsule","Cephalexin 250 MG Oral Capsule"
100,"Cephalexin 250 MG Oral Tablet","Cephalexin 250 MG Oral Tablet"
100,"Cephalexin 500 MG Oral Capsule","Cephalexin 500 MG Oral Capsule"
100,"Cephalexin 500 MG Oral Tablet","Cephalexin 500 MG Oral Tablet"
100,"Cetirizine HCl 1 MG/ML Oral Syrup","cetirizine hydrochloride 1 MG/ML Oral Solution"
100,"Cetirizine HCl 10 MG Oral Tablet","cetirizine hydrochloride 10 MG Oral Tablet"
100,"Cetirizine HCl 10 MG Oral Tablet Chewable","cetirizine hydrochloride 10 MG Chewable Tablet"
100,"Cetirizine HCl 5 MG Oral Tablet","cetirizine hydrochloride 5 MG Oral Tablet"
100,"Cetirizine HCl 5 MG Oral Tablet Chewable","cetirizine hydrochloride 5 MG Chewable Tablet"
100,"Cetirizine HCl 5 MG/5ML Oral Syrup","cetirizine hydrochloride 1 MG/ML Oral Solution"
100,"Cetraxal 0.2 % Otic Solution","Ciprofloxacin 2 MG/ML Otic Solution [Cetraxal]"
100,"Chantix 0.5 MG Oral Tablet","varenicline 0.5 MG Oral Tablet [Chantix]"
100,"Chantix 1 MG Oral Tablet","varenicline 1 MG Oral Tablet [Chantix]"
100,"Chlorhexidine Gluconate 20 % Solution","chlorhexidine gluconate 200 MG/ML Topical Solution"
100,"Chloroquine Phosphate 500 MG Oral Tablet","chloroquine phosphate 500 MG Oral Tablet"
100,"ChlorproMAZINE HCl 10 MG Oral Tablet","Chlorpromazine hydrochloride 10 MG Oral Tablet"
100,"ChlorproMAZINE HCl 25 MG Oral Tablet","Chlorpromazine hydrochloride 25 MG Oral Tablet"
100,"ChlorproMAZINE HCl 50 MG Oral Tablet","Chlorpromazine hydrochloride 50 MG Oral Tablet"
100,"Chlorthalidone 25 MG Oral Tablet","Chlorthalidone 25 MG Oral Tablet"
100,"Chlorthalidone 50 MG Oral Tablet","Chlorthalidone 50 MG Oral Tablet"
100,"Chlorzoxazone 500 MG Oral Tablet","Chlorzoxazone 500 MG Oral Tablet"
100,"Cialis 10 MG Oral Tablet","tadalafil 10 MG Oral Tablet [Cialis]"
100,"Cialis 2.5 MG Oral Tablet","tadalafil 2.5 MG Oral Tablet [Cialis]"
100,"Cialis 20 MG Oral Tablet","tadalafil 20 MG Oral Tablet [Cialis]"
100,"Cialis 5 MG Oral Tablet","tadalafil 5 MG Oral Tablet [Cialis]"
100,"Cilostazol 100 MG Oral Tablet","cilostazol 100 MG Oral Tablet"
100,"Cilostazol 50 MG Oral Tablet","cilostazol 50 MG Oral Tablet"
100,"Cipro HC 0.2-1 % Otic Suspension","Ciprofloxacin 2 MG/ML / Hydrocortisone 10 MG/ML Otic Suspension [Cipro HC]"
100,"Ciprodex 0.3-0.1 % Otic Suspension","Ciprofloxacin 3 MG/ML / Dexamethasone 1 MG/ML Otic Suspension [Ciprodex]"
100,"Ciprofloxacin HCl 0.3 % Ophthalmic Solution","Ciprofloxacin 3 MG/ML Ophthalmic Solution"
100,"Ciprofloxacin HCl 250 MG Oral Tablet","Ciprofloxacin 250 MG Oral Tablet"
100,"Ciprofloxacin HCl 500 MG Oral Tablet","Ciprofloxacin 500 MG Oral Tablet"
100,"Ciprofloxacin HCl 750 MG Oral Tablet","Ciprofloxacin 750 MG Oral Tablet"
100,"Citalopram Hydrobromide 10 MG Oral Tablet","Citalopram 10 MG Oral Tablet"
100,"Citalopram Hydrobromide 20 MG Oral Tablet","Citalopram 20 MG Oral Tablet"
100,"Citalopram Hydrobromide 40 MG Oral Tablet","Citalopram 40 MG Oral Tablet"
100,"Clarinex 5 MG Oral Tablet","desloratadine 5 MG Oral Tablet [Clarinex]"
100,"Clarithromycin 250 MG Oral Tablet","Clarithromycin 250 MG Oral Tablet"
100,"Clarithromycin 500 MG Oral Tablet","Clarithromycin 500 MG Oral Tablet"
100,"Clarithromycin 500 MG Oral Tablet Extended Release 24 Hour","24 HR Clarithromycin 500 MG Extended Release Oral Tablet"
100,"Claritin 10 MG Oral Capsule","Loratadine 10 MG Oral Capsule [Claritin]"
100,"Claritin 5 MG Oral Tablet Chewable","Loratadine 5 MG Chewable Tablet [Claritin]"
100,"Cleocin 100 MG Vaginal Suppository","Clindamycin 100 MG Vaginal Suppository [Cleocin]"
100,"Clindamycin HCl 150 MG Oral Capsule","Clindamycin 150 MG Oral Capsule"
100,"Clindamycin HCl 300 MG Oral Capsule","Clindamycin 300 MG Oral Capsule"
100,"Clindamycin Phosphate 2 % Vaginal Cream","Clindamycin 20 MG/ML Vaginal Cream"
100,"Clomid 50 MG Oral Tablet","Clomiphene Citrate 50 MG Oral Tablet [Clomid]"
100,"ClomiPHENE Citrate 50 MG Oral Tablet","Clomiphene Citrate 50 MG Oral Tablet"
100,"ClomiPRAMINE HCl 25 MG Oral Capsule","Clomipramine Hydrochloride 25 MG Oral Capsule"
100,"ClomiPRAMINE HCl 50 MG Oral Capsule","Clomipramine Hydrochloride 50 MG Oral Capsule"
100,"ClonazePAM 0.5 MG Oral Tablet","Clonazepam 0.5 MG Oral Tablet"
100,"ClonazePAM 1 MG Oral Tablet","Clonazepam 1 MG Oral Tablet"
100,"ClonazePAM 2 MG Oral Tablet","Clonazepam 2 MG Oral Tablet"
100,"CloNIDine HCl 0.1 MG Oral Tablet","Clonidine Hydrochloride 0.1 MG Oral Tablet"
100,"CloNIDine HCl 0.2 MG Oral Tablet","Clonidine Hydrochloride 0.2 MG Oral Tablet"
100,"CloNIDine HCl 0.3 MG Oral Tablet","Clonidine Hydrochloride 0.3 MG Oral Tablet"
100,"Coenzyme Q-10 400 MG Oral Capsule","Ubiquinone 400 MG Oral Capsule"
100,"Coenzyme Q10 100 MG Oral Capsule","coenzyme Q10 100 MG Oral Capsule"
100,"Coenzyme Q10 200 MG Oral Tablet","coenzyme Q10 200 MG Oral Tablet"
100,"Coenzyme Q10 30 MG/5ML Oral Liquid","coenzyme Q10 6 MG/ML Oral Solution"
100,"Colace 100 MG Oral Capsule","Docusate Sodium 100 MG Oral Capsule [Colace]"
100,"Colace 50 MG Oral Capsule","Docusate Sodium 50 MG Oral Capsule [Colace]"
100,"Colazal 750 MG Oral Capsule","Balsalazide disodium 750 MG Oral Capsule [Colazal]"
100,"Colchicine 0.6 MG TABS","Colchicine 0.6 MG Oral Tablet"
100,"Colcrys 0.6 MG Oral Tablet","Colchicine 0.6 MG Oral Tablet [Colcrys]"
100,"Colestipol HCl 1 GM Oral Tablet","Colestipol Hydrochloride 1000 MG Oral Tablet"
100,"Comtan 200 MG Oral Tablet","entacapone 200 MG Oral Tablet [Comtan]"
100,"Copaxone 20 MG/ML Subcutaneous Kit","1 ML glatiramer acetate 20 MG/ML Prefilled Syringe [Copaxone]"
100,"Coreg 25 MG Oral Tablet","carvedilol 25 MG Oral Tablet [Coreg]"
100,"Coreg CR 10 MG Oral Capsule Extended Release 24 Hour","24 HR carvedilol phosphate 10 MG Extended Release Oral Capsule [Coreg]"
100,"Coreg CR 20 MG Oral Capsule Extended Release 24 Hour","24 HR carvedilol phosphate 20 MG Extended Release Oral Capsule [Coreg]"
100,"Coreg CR 40 MG Oral Capsule Extended Release 24 Hour","24 HR carvedilol phosphate 40 MG Extended Release Oral Capsule [Coreg]"
100,"Coreg CR 80 MG Oral Capsule Extended Release 24 Hour","24 HR carvedilol phosphate 80 MG Extended Release Oral Capsule [Coreg]"
100,"Cortef 10 MG Oral Tablet","Hydrocortisone 10 MG Oral Tablet [Cortef]"
100,"Cortef 5 MG Oral Tablet","Hydrocortisone 5 MG Oral Tablet [Cortef]"
100,"Coumadin 5 MG Oral Tablet","Warfarin Sodium 5 MG Oral Tablet [Coumadin]"
100,"Cozaar 100 MG Oral Tablet","Losartan Potassium 100 MG Oral Tablet [Cozaar]"
100,"Cozaar 25 MG Oral Tablet","Losartan Potassium 25 MG Oral Tablet [Cozaar]"
100,"Cozaar 50 MG Oral Tablet","Losartan Potassium 50 MG Oral Tablet [Cozaar]"
100,"Crestor 10 MG Oral Tablet","Rosuvastatin calcium 10 MG Oral Tablet [Crestor]"
100,"Crestor 20 MG Oral Tablet","Rosuvastatin calcium 20 MG Oral Tablet [Crestor]"
100,"Crestor 40 MG Oral Tablet","Rosuvastatin calcium 40 MG Oral Tablet [Crestor]"
100,"Crestor 5 MG Oral Tablet","Rosuvastatin calcium 5 MG Oral Tablet [Crestor]"
100,"Cyanocobalamin 1000 MCG/ML Injection Solution","Vitamin B 12 1 MG/ML Injectable Solution"
100,"Cyclobenzaprine HCl 10 MG Oral Tablet","Cyclobenzaprine hydrochloride 10 MG Oral Tablet"
100,"Cyclobenzaprine HCl 5 MG Oral Tablet","Cyclobenzaprine hydrochloride 5 MG Oral Tablet"
100,"Cyclophosphamide 25 MG Oral Tablet","Cyclophosphamide 25 MG Oral Tablet"
100,"Cyclophosphamide 50 MG Oral Tablet","Cyclophosphamide 50 MG Oral Tablet"
100,"CycloSPORINE Modified 25 MG Oral Capsule","cyclosporine, modified 25 MG Oral Capsule"
100,"Cyproheptadine HCl 2 MG/5ML Oral Syrup","Cyproheptadine hydrochloride 0.4 MG/ML Oral Solution"
100,"Cyproheptadine HCl 4 MG Oral Tablet","Cyproheptadine hydrochloride 4 MG Oral Tablet"
100,"Cytomel 5 MCG Oral Tablet","liothyronine sodium 0.005 MG Oral Tablet [Cytomel]"
100,"Dapsone 100 MG Oral Tablet","Dapsone 100 MG Oral Tablet"
100,"Dapsone 25 MG Oral Tablet","Dapsone 25 MG Oral Tablet"
100,"Daytrana 10 MG/9HR Transdermal Patch","9 HR Methylphenidate 1.11 MG/HR Transdermal Patch [Daytrana]"
100,"Daytrana 15 MG/9HR Transdermal Patch","9 HR Methylphenidate 1.67 MG/HR Transdermal Patch [Daytrana]"
100,"Daytrana 20 MG/9HR Transdermal Patch","9 HR Methylphenidate 2.22 MG/HR Transdermal Patch [Daytrana]"
100,"Daytrana 30 MG/9HR Transdermal Patch","9 HR Methylphenidate 3.33 MG/HR Transdermal Patch [Daytrana]"
100,"DDAVP 0.2 MG Oral Tablet","Desmopressin Acetate 0.2 MG Oral Tablet [DDAVP]"
100,"Depakote 250 MG Oral Tablet Delayed Release","Divalproex Sodium 250 MG Delayed Release Oral Tablet [Depakote]"
100,"Depakote 500 MG Oral Tablet Delayed Release","Divalproex Sodium 500 MG Delayed Release Oral Tablet [Depakote]"
100,"Depakote ER 250 MG Oral Tablet Extended Release 24 Hour","24 HR Divalproex Sodium 250 MG Extended Release Oral Tablet [Depakote]"
100,"Depakote ER 500 MG Oral Tablet Extended Release 24 Hour","24 HR Divalproex Sodium 500 MG Extended Release Oral Tablet [Depakote]"
100,"Desmopressin Acetate 0.1 MG Oral Tablet","Desmopressin Acetate 0.1 MG Oral Tablet"
100,"Desmopressin Acetate 0.2 MG Oral Tablet","Desmopressin Acetate 0.2 MG Oral Tablet"
100,"Desmopressin Acetate 4 MCG/ML Injection Solution","Desmopressin Acetate 0.004 MG/ML Injectable Solution"
100,"Desmopressin Acetate Spray 0.01 % Nasal Solution","Desmopressin Acetate 0.1 MG/ML Nasal Solution"
100,"Detrol 1 MG Oral Tablet","tolterodine tartrate 1 MG Oral Tablet [Detrol]"
100,"Detrol LA 2 MG Oral Capsule Extended Release 24 Hour","24 HR tolterodine tartrate 2 MG Extended Release Oral Capsule [Detrol]"
100,"Detrol LA 4 MG Oral Capsule Extended Release 24 Hour","24 HR tolterodine tartrate 4 MG Extended Release Oral Capsule [Detrol]"
100,"Dexamethasone 0.5 MG Oral Tablet","Dexamethasone 0.5 MG Oral Tablet"
100,"Dexamethasone 1 MG Oral Tablet","Dexamethasone 1 MG Oral Tablet"
100,"Dexamethasone 2 MG Oral Tablet","Dexamethasone 2 MG Oral Tablet"
100,"Dexamethasone 4 MG Oral Tablet","Dexamethasone 4 MG Oral Tablet"
100,"Dexamethasone 6 MG Oral Tablet","Dexamethasone 6 MG Oral Tablet"
100,"Dexamethasone Sodium Phosphate 0.1 % Ophthalmic Solution","Dexamethasone 1 MG/ML Ophthalmic Solution"
100,"Dexamethasone Sodium Phosphate 10 MG/ML Injection Solution","Dexamethasone 10 MG/ML Injectable Solution"
100,"Dexamethasone Sodium Phosphate 4 MG/ML Injection Solution","Dexamethasone phosphate 4 MG/ML Injectable Solution"
100,"Dexilant 30 MG Oral Capsule Delayed Release","dexlansoprazole 30 MG Delayed Release Oral Capsule [Dexilant]"
100,"Dexilant 60 MG Oral Capsule Delayed Release","dexlansoprazole 60 MG Delayed Release Oral Capsule [Dexilant]"
100,"Dexmethylphenidate HCl 5 MG Oral Tablet","dexmethylphenidate hydrochloride 5 MG Oral Tablet"
100,"Diazepam 1 MG/ML Oral Solution","Diazepam 1 MG/ML Oral Solution"
100,"Diazepam 10 MG Oral Tablet","Diazepam 10 MG Oral Tablet"
100,"Diazepam 2 MG Oral Tablet","Diazepam 2 MG Oral Tablet"
100,"Diazepam 5 MG Oral Tablet","Diazepam 5 MG Oral Tablet"
100,"Diclofenac Sodium 50 MG Oral Tablet Delayed Release","Diclofenac Sodium 50 MG Delayed Release Oral Tablet"
100,"Diclofenac Sodium 75 MG Oral Tablet Delayed Release","Diclofenac Sodium 75 MG Delayed Release Oral Tablet"
100,"Dicloxacillin Sodium 500 MG Oral Capsule","Dicloxacillin 500 MG Oral Capsule"
100,"Dicyclomine HCl 10 MG Oral Capsule","Dicyclomine Hydrochloride 10 MG Oral Capsule"
100,"Dicyclomine HCl 10 MG/5ML Oral Solution","Dicyclomine Hydrochloride 2 MG/ML Oral Solution"
100,"Dicyclomine HCl 20 MG Oral Tablet","Dicyclomine Hydrochloride 20 MG Oral Tablet"
100,"Didanosine 200 MG Oral Capsule Delayed Release","Didanosine 200 MG Delayed Release Oral Capsule"
100,"Didanosine 250 MG Oral Capsule Delayed Release","Didanosine 250 MG Delayed Release Oral Capsule"
100,"Didanosine 400 MG Oral Capsule Delayed Release","Didanosine 400 MG Delayed Release Oral Capsule"
100,"Diflucan 150 MG Oral Tablet","Fluconazole 150 MG Oral Tablet [Diflucan]"
100,"Digoxin 0.05 MG/ML Oral Solution","Digoxin 0.05 MG/ML Oral Solution"
100,"Digoxin 0.125 MG Oral Tablet","Digoxin 0.125 MG Oral Tablet"
100,"Digoxin 0.25 MG Oral Tablet","Digoxin 0.25 MG Oral Tablet"
100,"Dilantin 100 MG Oral Capsule","Phenytoin sodium 100 MG Oral Capsule [Dilantin]"
100,"Dilantin Infatabs 50 MG Oral Tablet Chewable","Phenytoin 50 MG Chewable Tablet [Dilantin]"
100,"Dilt-CD 120 MG Oral Capsule Extended Release 24 Hour","24 HR Diltiazem Hydrochloride 120 MG Extended Release Oral Capsule [Dilt]"
100,"Dilt-CD 180 MG Oral Capsule Extended Release 24 Hour","24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Capsule [Dilt]"
100,"Dilt-CD 240 MG Oral Capsule Extended Release 24 Hour","24 HR Diltiazem Hydrochloride 240 MG Extended Release Oral Capsule [Dilt]"
100,"Dilt-XR 180 MG Oral Capsule Extended Release 24 Hour","24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Capsule [Dilt]"
100,"Dilt-XR 240 MG Oral Capsule Extended Release 24 Hour","24 HR Diltiazem Hydrochloride 240 MG Extended Release Oral Capsule [Dilt]"
100,"Diltiazem HCl 120 MG Oral Tablet","Diltiazem Hydrochloride 120 MG Oral Tablet"
100,"Diltiazem HCl 30 MG Oral Tablet","Diltiazem Hydrochloride 30 MG Oral Tablet"
100,"Diltiazem HCl 60 MG Oral Tablet","Diltiazem Hydrochloride 60 MG Oral Tablet"
100,"Diltiazem HCl 90 MG Oral Tablet","Diltiazem Hydrochloride 90 MG Oral Tablet"
100,"Diovan 160 MG Oral Tablet","valsartan 160 MG Oral Tablet [Diovan]"
100,"Diovan 320 MG Oral Tablet","valsartan 320 MG Oral Tablet [Diovan]"
100,"Diovan 40 MG Oral Tablet","valsartan 40 MG Oral Tablet [Diovan]"
100,"Diovan 80 MG Oral Tablet","valsartan 80 MG Oral Tablet [Diovan]"
100,"DiphenhydrAMINE HCl 12.5 MG/5ML Oral Elixir","Diphenhydramine Hydrochloride 2.5 MG/ML Oral Solution"
100,"DiphenhydrAMINE HCl 12.5 MG/5ML Oral Liquid","Diphenhydramine Hydrochloride 2.5 MG/ML Oral Solution"
100,"DiphenhydrAMINE HCl 25 MG Oral Capsule","Diphenhydramine Hydrochloride 25 MG Oral Capsule"
100,"DiphenhydrAMINE HCl 25 MG Oral Tablet","Diphenhydramine Hydrochloride 25 MG Oral Tablet"
100,"Dipyridamole 75 MG Oral Tablet","Dipyridamole 75 MG Oral Tablet"
100,"Ditropan XL 5 MG Oral Tablet Extended Release 24 Hour","24 HR Oxybutynin chloride 5 MG Extended Release Oral Tablet [Ditropan]"
100,"Divalproex Sodium 125 MG Oral Capsule Sprinkle","Divalproex Sodium 125 MG Delayed Release Oral Capsule"
100,"Divalproex Sodium 125 MG Oral Tablet Delayed Release","Divalproex Sodium 125 MG Delayed Release Oral Tablet"
100,"Divalproex Sodium 250 MG Oral Tablet Delayed Release","Divalproex Sodium 250 MG Delayed Release Oral Tablet"
100,"Divalproex Sodium 250 MG Oral Tablet Extended Release 24 Hour","24 HR Divalproex Sodium 250 MG Extended Release Oral Tablet"
100,"Divalproex Sodium 500 MG Oral Tablet Delayed Release","Divalproex Sodium 500 MG Delayed Release Oral Tablet"
100,"Divalproex Sodium 500 MG Oral Tablet Extended Release 24 Hour","24 HR Divalproex Sodium 500 MG Extended Release Oral Tablet"
100,"Docusate Sodium 100 MG Oral Capsule","Docusate Sodium 100 MG Oral Capsule"
100,"Docusate Sodium 100 MG Oral Tablet","Docusate Sodium 100 MG Oral Tablet"
100,"Docusate Sodium 50 MG/5ML Oral Liquid","Docusate Sodium 10 MG/ML Oral Suspension"
100,"Docusate Sodium 60 MG/15ML Oral Syrup","Docusate Sodium 4 MG/ML Oral Solution"
100,"Donepezil HCl 10 MG Oral Tablet","Donepezil hydrochloride 10 MG Oral Tablet"
100,"Donepezil HCl 5 MG Oral Tablet","Donepezil hydrochloride 5 MG Oral Tablet"
100,"Doral 15 MG Oral Tablet","quazepam 15 MG Oral Tablet [Doral]"
100,"Dorzolamide HCl-Timolol Mal 22.3-6.8 MG/ML Ophthalmic Solution","dorzolamide 20 MG/ML / Timolol 5 MG/ML Ophthalmic Solution"
100,"Doxazosin Mesylate 1 MG Oral Tablet","Doxazosin 1 MG Oral Tablet"
100,"Doxazosin Mesylate 2 MG Oral Tablet","Doxazosin 2 MG Oral Tablet"
100,"Doxazosin Mesylate 4 MG Oral Tablet","Doxazosin 4 MG Oral Tablet"
100,"Doxazosin Mesylate 8 MG Oral Tablet","Doxazosin 8 MG Oral Tablet"
100,"Doxepin HCl 10 MG Oral Capsule","Doxepin Hydrochloride 10 MG Oral Capsule"
100,"Doxepin HCl 100 MG Oral Capsule","Doxepin Hydrochloride 100 MG Oral Capsule"
100,"Doxepin HCl 150 MG Oral Capsule","Doxepin Hydrochloride 150 MG Oral Capsule"
100,"Doxepin HCl 25 MG Oral Capsule","Doxepin Hydrochloride 25 MG Oral Capsule"
100,"Doxepin HCl 50 MG Oral Capsule","Doxepin Hydrochloride 50 MG Oral Capsule"
100,"Doxycycline Hyclate 100 MG Oral Capsule","Doxycycline 100 MG Oral Capsule"
100,"Doxycycline Hyclate 100 MG Oral Tablet","Doxycycline 100 MG Oral Tablet"
100,"Doxycycline Hyclate 50 MG Oral Capsule","Doxycycline 50 MG Oral Capsule"
100,"Doxycycline Monohydrate 100 MG Oral Capsule","Doxycycline 100 MG Oral Capsule"
100,"Doxycycline Monohydrate 100 MG Oral Tablet","Doxycycline 100 MG Oral Tablet"
100,"Droxia 300 MG Oral Capsule","hydroxyurea 300 MG Oral Capsule [Droxia]"
100,"Droxia 400 MG Oral Capsule","hydroxyurea 400 MG Oral Capsule [Droxia]"
100,"Dulcolax 5 MG Oral Tablet Delayed Release","Bisacodyl 5 MG Delayed Release Oral Tablet [Dulcolax]"
100,"Dulcolax Stool Softener 100 MG Oral Capsule","Docusate Sodium 100 MG Oral Capsule [Dulcolax Stool Softener]"
100,"DynaCirc CR 5 MG Oral Tablet Extended Release 24 Hour","24 HR Isradipine 5 MG Extended Release Oral Tablet [Dynacirc]"
100,"Effexor XR 150 MG Oral Capsule Extended Release 24 Hour","24 HR venlafaxine 150 MG Extended Release Oral Capsule [Effexor]"
100,"Effexor XR 75 MG Oral Capsule Extended Release 24 Hour","24 HR venlafaxine 75 MG Extended Release Oral Capsule [Effexor]"
100,"Effient 10 MG Oral Tablet","prasugrel 10 MG Oral Tablet [Effient]"
100,"Elmiron 100 MG Oral Capsule","Pentosan Polysulfate 100 MG Oral Capsule [Elmiron]"
100,"Emcyt 140 MG Oral Capsule","Estramustine 140 MG Oral Capsule [Emcyt]"
100,"Emend 80 MG Oral Capsule","aprepitant 80 MG Oral Capsule [Emend]"
100,"Emtriva 200 MG Oral Capsule","emtricitabine 200 MG Oral Capsule [Emtriva]"
100,"Enablex 15 MG Oral Tablet Extended Release 24 Hour","24 HR darifenacin 15 MG Extended Release Oral Tablet [Enablex]"
100,"Enablex 7.5 MG Oral Tablet Extended Release 24 Hour","24 HR darifenacin 7.5 MG Extended Release Oral Tablet [Enablex]"
100,"Enalapril Maleate 10 MG Oral Tablet","Enalapril Maleate 10 MG Oral Tablet"
100,"Enalapril Maleate 20 MG Oral Tablet","Enalapril Maleate 20 MG Oral Tablet"
100,"Enalapril Maleate 5 MG Oral Tablet","Enalapril Maleate 5 MG Oral Tablet"
100,"Enbrel 25 MG Subcutaneous Kit","Etanercept 25 MG/ML Injectable Solution [Enbrel]"
100,"Enbrel SureClick 50 MG/ML Subcutaneous Solution","0.98 ML Etanercept 50 MG/ML Prefilled Syringe [Enbrel]"
100,"Enoxaparin Sodium 120 MG/0.8ML Subcutaneous Solution","0.8 ML Enoxaparin sodium 150 MG/ML Prefilled Syringe"
