"medication","medication_definition_id","indications","rxcui","score","rank","nAtoms","name","synonym","tty","language","suppress","umlscui","ttypriority"
"Magic Mouthwash",133922,13,7067,67,1,9,"Mouthwash","Oral Rinse","DF","ENG","N","C0026647",15
"Magnesium Citrate 1.745 GM/30ML Oral Solution",18065,1,1052760,90,1,10,"magnesium citrate 58.2 MG/ML Oral Solution","magnesium citrate 1.745 GM per 30 ML Oral Solution","SCD","ENG","N","C0936686",1
"Magnesium Oxide 400 MG Oral Capsule",30849,1,252430,100,1,6,"Magnesium Oxide 400 MG Oral Capsule","","SCD","ENG","N","C0794632",1
"Magnesium Oxide 400 MG Oral Tablet",26432,1,198741,100,1,20,"Magnesium Oxide 400 MG Oral Tablet","magnesium oxide 400 MG (magnesium 240 MG) Oral Tablet","SCD","ENG","N","C0691595",1
"Malarone 250-100 MG Oral Tablet",98066,1,864679,86,1,10,"Atovaquone 250 MG / proguanil hydrochloride 100 MG Oral Tablet [Malarone]","Malarone 250/100 Oral Tablet","SBD","ENG","N","C0939027",2
"Malathion 0.5 % External Lotion",152401,1,204119,80,1,17,"Malathion 5 MG/ML Topical Lotion","malathion 0.5 % Topical Lotion","SCD","ENG","N","C0701758",1
"Maxalt 10 MG Oral Tablet",24531,5,213322,100,1,11,"rizatriptan 10 MG Oral Tablet [Maxalt]","Maxalt 10 MG Oral Tablet","SBD","ENG","N","C0716345",2
"Maxalt 5 MG Oral Tablet",30438,3,213321,100,1,7,"rizatriptan 5 MG Oral Tablet [Maxalt]","Maxalt 5 MG Oral Tablet","SBD","ENG","N","C0716344",2
"Maxalt-MLT 10 MG Oral Tablet Dispersible",24533,4,828537,75,1,7,"rizatriptan 10 MG Disintegrating Oral Tablet [Maxalt]","Maxalt 10 MG Disintegrating Oral Tablet","SBD","ENG","N","C0716347",2
"Maxalt-MLT 5 MG Oral Tablet Dispersible",24532,3,828536,75,1,9,"rizatriptan 5 MG Disintegrating Oral Tablet [Maxalt]","Maxalt 5 MG Disintegrating Oral Tablet","SBD","ENG","N","C0716346",2
"Maxaron Forte Oral Capsule",140781,2,861083,50,2,1,"Folic Acid 1 MG / Polysaccharide iron complex 150 MG / Vitamin B 12 0.025 MG Oral Capsule [Ferrex 150 Forte]","Ferrex 150 Forte Oral Capsule","SBD","ENG","N","C1583736",2
"Mebendazole 100 MG Oral Tablet Chewable",19802,2,105347,100,1,8,"Mebendazole 100 MG Chewable Tablet","","SCD","ENG","N","C0356347",1
"Meclizine HCl 12.5 MG Oral Tablet",26619,4,995624,100,1,19,"Meclizine Hydrochloride 12.5 MG Oral Tablet","","SCD","ENG","N","C0978360",1
"Meclizine HCl 25 MG Oral Tablet",26620,6,995666,100,1,29,"Meclizine Hydrochloride 25 MG Oral Tablet","","SCD","ENG","N","C0978364",1
"Meclizine HCl 25 MG Oral Tablet Chewable",18125,1,995632,100,1,7,"Meclizine Hydrochloride 25 MG Chewable Tablet","","SCD","ENG","N","C0978363",1
"Medrol 2 MG Oral Tablet",15955,1,207136,100,1,9,"Methylprednisolone 2 MG Oral Tablet [Medrol]","Medrol 2 MG Oral Tablet","SBD","ENG","N","C0708413",2
"MedroxyPROGESTERone Acetate 10 MG Oral Tablet",18183,15,1000114,100,1,23,"medroxyprogesterone acetate 10 MG Oral Tablet","","SCD","ENG","N","C0773969",1
"MedroxyPROGESTERone Acetate 150 MG/ML Intramuscular Suspension",123024,5,1000126,100,1,7,"medroxyprogesterone acetate 150 MG/ML Injectable Suspension","","SCD","ENG","N","C1646068",1
"MedroxyPROGESTERone Acetate 2.5 MG Oral Tablet",15957,1,1000135,100,1,14,"medroxyprogesterone acetate 2.5 MG Oral Tablet","","SCD","ENG","N","C0773970",1
"MedroxyPROGESTERone Acetate 5 MG Oral Tablet",18184,1,1000141,100,1,16,"medroxyprogesterone acetate 5 MG Oral Tablet","","SCD","ENG","N","C0773971",1
"Mefenamic Acid 250 MG Oral Capsule",135422,1,829500,100,1,13,"Mefenamic Acid 250 MG Oral Capsule","","SCD","ENG","N","C0689451",1
"Mefloquine HCl 250 MG Oral Tablet",100258,2,835913,100,1,17,"Mefloquine Hydrochloride 250 MG Oral Tablet","","SCD","ENG","N","C0978377",1
"Megace ES 625 MG/5ML Oral Suspension",130703,3,885111,100,1,11,"Megestrol Acetate 125 MG/ML Oral Suspension [Megace]","Megace ES 125 MG/ML Oral Suspension","SBD","ENG","N","C1615777",2
"Megestrol Acetate 40 MG Oral Tablet",15965,3,860221,100,1,21,"Megestrol Acetate 40 MG Oral Tablet","","SCD","ENG","N","C0978381",1
"Megestrol Acetate 40 MG/ML Oral Suspension",97583,3,860225,100,1,15,"Megestrol Acetate 40 MG/ML Oral Suspension","megestrol acetate 400 MG per 10 ML Oral Suspension","SCD","ENG","N","C0978380",1
"Megestrol Acetate 400 MG/10ML Oral Suspension",134052,3,860225,100,1,12,"Megestrol Acetate 40 MG/ML Oral Suspension","megestrol acetate 400 MG per 10 ML Oral Suspension","SCD","ENG","N","C0978380",1
"Megestrol Acetate 800 MG/20ML Oral Suspension",135444,1,860225,100,1,10,"Megestrol Acetate 40 MG/ML Oral Suspension","megestrol acetate 400 MG per 10 ML Oral Suspension","SCD","ENG","N","C0978380",1
"Melatonin 1 MG/4ML Oral Liquid",116148,2,636811,86,1,6,"Melatonin 0.25 MG/ML Oral Solution","","SCD","ENG","N","C1711948",1
"Melatonin 5 MG Oral Capsule",29913,6,199647,100,1,12,"Melatonin 5 MG Oral Capsule","","SCD","ENG","N","C0693232",1
"Melatonin 5 MG Oral Tablet",22711,3,252732,100,1,10,"Melatonin 5 MG Oral Tablet","","SCD","ENG","N","C0795007",1
"Meloxicam 15 MG Oral Tablet",134107,26,152695,100,1,62,"meloxicam 15 MG Oral Tablet","","SCD","ENG","N","C0592676",1
"Meloxicam 7.5 MG Oral Tablet",134194,28,311486,100,1,59,"meloxicam 7.5 MG Oral Tablet","","SCD","ENG","N","C0978384",1
"Mephyton 5 MG Oral Tablet",18213,1,207839,100,1,17,"Vitamin K 1 5 MG Oral Tablet [Mephyton]","Mephyton 5 MG Oral Tablet","SBD","ENG","N","C0709252",2
"Mepron 750 MG/5ML Oral Suspension",21827,1,211947,100,1,9,"Atovaquone 150 MG/ML Oral Suspension [Mepron]","Mepron 150 MG/ML Oral Suspension","SBD","ENG","N","C0714340",2
"Mercaptopurine 50 MG Oral Tablet",115012,2,197931,100,1,16,"mercaptopurine 50 MG Oral Tablet","","SCD","ENG","N","C0689485",1
"Mesalamine 4 GM Rectal Enema",128748,1,238151,80,1,9,"mesalamine 66.7 MG/ML Enema","mesalazine 66.7 MG/ML Enema","SCD","ENG","N","C0774363",1
"Mestinon 180 MG Oral Tablet Extended Release",18221,1,903849,100,1,7,"Pyridostigmine Bromide 180 MG Extended Release Oral Tablet [Mestinon]","Mestinon 180 MG Timespan Tablet","SBD","ENG","N","C0709296",2
"Metadate CD 20 MG Oral Capsule Extended Release",98893,1,1091163,89,1,7,"24 HR Methylphenidate Hydrochloride 20 MG Extended Release Oral Capsule [Metadate]","24 HR Metadate 20 MG Extended Release Oral Capsule","SBD","ENG","N","C0939169",2
"Metaxalone 800 MG Oral Tablet",156773,16,351254,100,1,39,"metaxalone 800 MG Oral Tablet","","SCD","ENG","N","C1168818",1
"MetFORMIN HCl 1000 MG Oral Tablet",100296,14,861004,100,1,48,"Metformin hydrochloride 1000 MG Oral Tablet","metformin hydrochloride 1 GM Oral Tablet","SCD","ENG","N","C0978482",1
"MetFORMIN HCl 500 MG Oral Tablet",100259,31,861007,100,1,57,"Metformin hydrochloride 500 MG Oral Tablet","","SCD","ENG","N","C0978483",1
"MetFORMIN HCl 500 MG Oral Tablet Extended Release 24 Hour",114955,17,860975,100,1,14,"24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet","metformin hydrochloride 500 MG 24 HR Extended Release Oral Tablet","SCD","ENG","N","C0978484",1
"MetFORMIN HCl 750 MG Oral Tablet Extended Release 24 Hour",123384,2,860981,100,1,8,"24 HR Metformin hydrochloride 750 MG Extended Release Oral Tablet","metformin hydrochloride 750 MG 24 HR Extended Release Oral Tablet","SCD","ENG","N","C1329024",1
"MetFORMIN HCl 850 MG Oral Tablet",100275,4,861010,100,1,40,"Metformin hydrochloride 850 MG Oral Tablet","","SCD","ENG","N","C0978485",1
"Methadone HCl 10 MG Oral Tablet",16006,2,864706,100,1,21,"Methadone Hydrochloride 10 MG Oral Tablet","","SCD","ENG","N","C0978492",1
"Methadone HCl 5 MG Oral Tablet",16007,3,864718,100,1,19,"Methadone Hydrochloride 5 MG Oral Tablet","","SCD","ENG","N","C0981584",1
"Methimazole 10 MG Oral Tablet",26433,4,197941,100,1,23,"Methimazole 10 MG Oral Tablet","","SCD","ENG","N","C0689527",1
"Methimazole 5 MG Oral Tablet",26434,2,197942,100,1,17,"Methimazole 5 MG Oral Tablet","","SCD","ENG","N","C0689528",1
"Methocarbamol 500 MG Oral Tablet",16016,7,197943,100,1,50,"Methocarbamol 500 MG Oral Tablet","","SCD","ENG","N","C0689533",1
"Methocarbamol 750 MG Oral Tablet",18374,18,197944,100,1,50,"Methocarbamol 750 MG Oral Tablet","","SCD","ENG","N","C0689534",1
"Methotrexate 2.5 MG Oral Tablet",16017,26,105585,100,1,6,"Methotrexate 2.5 MG Oral Tablet","methotrexate 2.5 MG (as methotrexate sodium) Oral Tablet","SCD","ENG","N","C0356884",1
"Methotrexate Sodium 25 MG/ML Injection Solution",16018,6,311627,100,1,18,"Methotrexate 25 MG/ML Injectable Solution","","SCD","ENG","N","C0978557",1
"Methotrexate Sodium 250 MG/10ML Injection Solution",136918,1,349408,67,2,5,"Treprostinil 10 MG/ML Injectable Solution","","SCD","ENG","N","C1164981",1
"Methyldopa 250 MG Oral Tablet",16110,2,197956,100,1,19,"Methyldopa 250 MG Oral Tablet","","SCD","ENG","N","C0689555",1
"Methyldopa 500 MG Oral Tablet",16111,4,197958,100,1,17,"Methyldopa 500 MG Oral Tablet","","SCD","ENG","N","C0689557",1
"Methylin ER 10 MG TBCR",97880,1,1091147,50,1,5,"8 HR Methylphenidate Hydrochloride 10 MG Extended Release Oral Tablet [Methylin]","8 HR Methylin 10 MG Extended Release Oral Tablet","SBD","ENG","N","C0939646",2
"Methylphenidate HCl 10 MG Oral Tablet",16113,4,1091150,100,1,15,"Methylphenidate Hydrochloride 10 MG Oral Tablet","","SCD","ENG","N","C0689568",1
"Methylphenidate HCl 10 MG Oral Tablet Extended Release",139199,1,1091145,100,1,10,"8 HR Methylphenidate Hydrochloride 10 MG Extended Release Oral Tablet","methylphenidate 10 MG 8 HR Extended Release Oral Tablet","SCD","ENG","N","C0978582",1
"Methylphenidate HCl 20 MG Oral Tablet",16114,3,1091392,100,1,15,"Methylphenidate Hydrochloride 20 MG Oral Tablet","","SCD","ENG","N","C0689569",1
"Methylphenidate HCl 5 MG Oral Tablet",18382,3,1091497,100,1,14,"Methylphenidate Hydrochloride 5 MG Oral Tablet","","SCD","ENG","N","C0689571",1
"MethylPREDNISolone (Pak) 4 MG Oral Tablet",21795,32,259966,83,1,13,"Methylprednisolone 4 MG Oral Tablet","","SCD","ENG","N","C0873969",1
"MethylPREDNISolone 16 MG Oral Tablet",138364,1,328161,100,1,13,"Methylprednisolone 16 MG Oral Tablet","","SCD","ENG","N","C1123025",1
"MethylPREDNISolone 4 MG Oral Tablet",16117,2,259966,100,1,13,"Methylprednisolone 4 MG Oral Tablet","","SCD","ENG","N","C0873969",1
"MethylPREDNISolone Sodium Succ 1 GM Injection Solution Reconstituted",136127,2,314099,78,1,4,"Methylprednisolone 62.5 MG/ML Injectable Solution","methylprednisolone 1 GM per 16 ML Injectable Solution","SCD","ENG","N","C0981582",1
"MethylPREDNISolone Sodium Succ 1000 MG Injection Solution Reconstituted",128867,1,105403,75,1,2,"Methylprednisolone 125 MG/ML Injectable Solution","methylprednisolone 500 MG per 4 ML Injectable Solution","SCD","ENG","N","C0356459",1
"MethylPREDNISolone Sodium Succ 40 MG Injection Solution Reconstituted",128795,1,311659,78,1,13,"Methylprednisolone 40 MG/ML Injectable Solution","methylprednisolone (as methylprednisolone sodium succinate) 40 MG/ML Injectable Solution","SCD","ENG","N","C0978593",1
"Metoclopramide HCl 1 MG/ML Oral Solution",151253,1,104884,100,1,11,"Metoclopramide 1 MG/ML Oral Solution","metoclopramide 5 MG per 5 ML Oral Solution","SCD","ENG","N","C0355390",1
"Metoclopramide HCl 10 MG Oral Tablet",18385,10,311666,100,1,50,"Metoclopramide 10 MG Oral Tablet","metoclopramide 10 MG (as metoclopramide hydrochloride) Oral Tablet","SCD","ENG","N","C0978600",1
"Metoclopramide HCl 10 MG/10ML Oral Solution",135177,1,104884,88,1,7,"Metoclopramide 1 MG/ML Oral Solution","metoclopramide 5 MG per 5 ML Oral Solution","SCD","ENG","N","C0355390",1
"Metoclopramide HCl 5 MG Oral Tablet",18386,6,311668,100,1,32,"Metoclopramide 5 MG Oral Tablet","metoclopramide 5 MG (as metoclopramide hydrochloride) Oral Tablet","SCD","ENG","N","C0978602",1
"Metoclopramide HCl 5 MG/5ML Oral Solution",135235,4,104884,100,1,19,"Metoclopramide 1 MG/ML Oral Solution","metoclopramide 5 MG per 5 ML Oral Solution","SCD","ENG","N","C0355390",1
"Metolazone 2.5 MG Oral Tablet",114128,4,197979,100,1,14,"Metolazone 2.5 MG Oral Tablet","","SCD","ENG","N","C0689598",1
"Metolazone 5 MG Oral Tablet",114262,3,311671,100,1,15,"Metolazone 5 MG Oral Tablet","","SCD","ENG","N","C0978606",1
"Metoprolol Succinate 100 MG Oral Tablet Extended Release 24 Hour",137730,11,866412,100,1,6,"24 HR metoprolol succinate 100 MG Extended Release Oral Tablet","metoprolol succinate 100 MG 24 HR Extended Release Oral Tablet","SCD","ENG","N","C0978607",1
"Metoprolol Succinate 200 MG Oral Tablet Extended Release 24 Hour",137726,5,866419,100,1,6,"24 HR metoprolol succinate 200 MG Extended Release Oral Tablet","metoprolol succinate 200 MG 24 HR Extended Release Oral Tablet","SCD","ENG","N","C2723286",1
"Metoprolol Succinate 25 MG Oral Tablet Extended Release 24 Hour",135515,18,866427,100,1,6,"24 HR metoprolol succinate 25 MG Extended Release Oral Tablet","metoprolol succinate 25 MG 24 HR Extended Release Oral Tablet","SCD","ENG","N","C0937506",1
"Metoprolol Succinate 50 MG Oral Tablet Extended Release 24 Hour",137708,10,866436,100,1,6,"24 HR metoprolol succinate 50 MG Extended Release Oral Tablet","metoprolol succinate 50 MG 24 HR Extended Release Oral Tablet","SCD","ENG","N","C0978610",1
"Metoprolol Tartrate 100 MG Oral Tablet",18387,5,866511,100,1,17,"Metoprolol Tartrate 100 MG Oral Tablet","metoprolol tartrate 100 MG (as metoprolol succinate 95 MG) Oral Tablet","SCD","ENG","N","C0978611",1
"Metoprolol Tartrate 25 MG Oral Tablet",115308,13,866924,100,1,19,"Metoprolol Tartrate 25 MG Oral Tablet","","SCD","ENG","N","C1359886",1
"Metoprolol Tartrate 50 MG Oral Tablet",18388,7,866514,100,1,18,"Metoprolol Tartrate 50 MG Oral Tablet","","SCD","ENG","N","C0978612",1
"Metoprolol-Hydrochlorothiazide 100-25 MG Oral Tablet",128757,1,866479,88,1,17,"Hydrochlorothiazide 25 MG / Metoprolol Tartrate 100 MG Oral Tablet","HCTZ 25 MG / metoprolol tartrate 100 MG Oral Tablet","SCD","ENG","N","C0977523",1
"Metoprolol-Hydrochlorothiazide 100-50 MG Oral Tablet",128893,1,866491,88,1,17,"Hydrochlorothiazide 50 MG / Metoprolol Tartrate 100 MG Oral Tablet","HCTZ 50 MG / metoprolol tartrate 100 MG Oral Tablet","SCD","ENG","N","C0981478",1
"Metoprolol-Hydrochlorothiazide 50-25 MG Oral Tablet",129103,2,866482,88,1,17,"Hydrochlorothiazide 25 MG / Metoprolol Tartrate 50 MG Oral Tablet","HCTZ 25 MG / metoprolol tartrate 50 MG Oral Tablet","SCD","ENG","N","C0977524",1
"Metrogel 1 % External Gel",130700,3,605730,60,1,10,"Metronidazole 0.01 MG/MG Topical Gel [MetroGel]","MetroGel 1 % Topical Gel","SBD","ENG","N","C1639149",2
"MetroNIDAZOLE 0.75 % External Cream",128460,2,311678,80,1,18,"Metronidazole 7.5 MG/ML Topical Cream","metronidazole 0.75 % Topical cream","SCD","ENG","N","C0978617",1
"MetroNIDAZOLE 0.75 % External Gel",134087,1,311679,80,1,11,"Metronidazole 0.0075 MG/MG Topical Gel","metronidazole 0.75 % Topical Gel","SCD","ENG","N","C0978618",1
"MetroNIDAZOLE 0.75 % Vaginal Gel",135590,3,142046,100,1,11,"Metronidazole 0.0075 MG/MG Vaginal Gel","metronidazole 0.75 % Vaginal Gel","SCD","ENG","N","C0543210",1
"MetroNIDAZOLE 250 MG Oral Tablet",16124,7,314106,100,1,47,"Metronidazole 250 MG Oral Tablet","","SCD","ENG","N","C0981591",1
"MetroNIDAZOLE 500 MG Oral Tablet",18391,23,311681,100,1,61,"Metronidazole 500 MG Oral Tablet","","SCD","ENG","N","C0978620",1
"Micardis 20 MG Oral Tablet",98333,2,284531,100,1,8,"telmisartan 20 MG Oral Tablet [Micardis]","Micardis 20 MG Oral Tablet","SBD","ENG","N","C0939123",2
"Micardis 40 MG Oral Tablet",30714,3,213431,100,1,8,"telmisartan 40 MG Oral Tablet [Micardis]","Micardis 40 MG Oral Tablet","SBD","ENG","N","C0716469",2
"Micardis 80 MG Oral Tablet",30715,3,213432,100,1,9,"telmisartan 80 MG Oral Tablet [Micardis]","Micardis 80 MG Oral Tablet","SBD","ENG","N","C0716470",2
"Micardis HCT 40-12.5 MG Oral Tablet",98463,1,749833,89,1,10,"Hydrochlorothiazide 12.5 MG / telmisartan 40 MG Oral Tablet [Micardis-HCT]","Micardis-HCT 40/12.5 Oral Tablet","SBD","ENG","N","C0939094",2
"Micardis HCT 80-25 MG Oral Tablet",128871,3,749841,88,1,11,"Hydrochlorothiazide 25 MG / telmisartan 80 MG Oral Tablet [Micardis-HCT]","Micardis-HCT 80/25 Oral Tablet","SBD","ENG","N","C1585690",2
"Miconazole 3 200 MG Vaginal Suppository",27673,1,992766,100,1,1,"{1 (9000 MG) (Miconazole Nitrate 20 MG/ML Vaginal Cream) / 3 (Miconazole Nitrate 200 MG Vaginal Suppository) } Pack","miconazole 3 Day Vaginal Suppository Combination Pack","GPCK","ENG","N","C1878057",11
"Miconazole Nitrate 100 MG Vaginal Suppository",100830,1,992780,100,1,15,"Miconazole Nitrate 100 MG Vaginal Suppository","","SCD","ENG","N","C0691618",1
"Microgestin 1/20 1-20 MG-MCG Oral Tablet",112120,3,1359020,100,1,9,"{21 (Ethinyl Estradiol 0.02 MG / norethindrone acetate 1 MG Oral Tablet) } Pack [Microgestin 1/20 21 Day]","Microgestin 1/20 21 Day Pack","BPCK","ENG","N","C1815675",12
"Microgestin FE 1/20 1-20 MG-MCG Oral Tablet",99768,1,1358775,100,1,2,"{21 (Ethinyl Estradiol 0.02 MG / norethindrone acetate 1 MG Oral Tablet) / 7 (Ferrous fumarate 75 MG Oral Tablet) } Pack [Microgestin Fe 1/20 28 Day]","Microgestin Fe 1/20 28 Day Pack","BPCK","ENG","N","C1815676",12
"Midodrine HCl 5 MG Oral Tablet",113801,1,993470,100,1,15,"midodrine hydrochloride 5 MG Oral Tablet","","SCD","ENG","N","C0978650",1
"Milk of Magnesia 1200 MG/15ML Oral Suspension",138292,1,253017,89,1,1,"Magnesium Hydroxide 80 MG/ML Oral Suspension","milk of magnesia 8 % Oral Suspension","SCD","ENG","N","C0795367",1
"Milk of Magnesia 400 MG/5ML Oral Suspension",20618,2,253017,89,1,5,"Magnesium Hydroxide 80 MG/ML Oral Suspension","milk of magnesia 8 % Oral Suspension","SCD","ENG","N","C0795367",1
"Mineral Oil Rectal Enema",100220,1,205121,100,1,9,"Mineral Oil 1000 MG/ML Enema","mineral oil 100 % Enema","SCD","ENG","N","C0705448",1
"Minocin 100 MG Oral Capsule",16158,1,207356,100,1,12,"Minocycline 100 MG Oral Capsule [Minocin]","Minocin 100 MG Oral Capsule","SBD","ENG","N","C0708680",2
"Minocycline HCl 100 MG Oral Capsule",18436,5,197984,100,1,38,"Minocycline 100 MG Oral Capsule","minocycline (as minocycline hydrochloride) 100 MG Oral Capsule","SCD","ENG","N","C0689631",1
"Minocycline HCl 100 MG Oral Tablet",122870,1,207364,100,1,16,"Minocycline 100 MG Oral Tablet","minocycline (as minocycline hydrochloride) 100 MG Oral Tablet","SCD","ENG","N","C0708688",1
"Minocycline HCl 50 MG Oral Capsule",18437,2,197985,100,1,26,"Minocycline 50 MG Oral Capsule","minocycline (as minocycline hydrochloride) 50 MG Oral Capsule","SCD","ENG","N","C0689633",1
"Minoxidil 10 MG Oral Tablet",16159,2,197986,100,1,20,"Minoxidil 10 MG Oral Tablet","","SCD","ENG","N","C0689635",1
"Minoxidil 2.5 MG Oral Tablet",16160,3,197987,100,1,19,"Minoxidil 2.5 MG Oral Tablet","","SCD","ENG","N","C0689637",1
"MiraLax Oral Packet",100416,1,1180459,50,1,1,"Miralax Oral Product","","SBDG","ENG","N","C3234311",14
"MiraLax Oral Powder",25014,1,876195,75,1,13,"POLYETHYLENE GLYCOL 3350 142 MG/ML Oral Solution [Miralax]","Miralax 142 MG/ML Oral Solution","SBD","ENG","N","C0875585",2
"Mirapex 0.125 MG Oral Tablet",29836,1,859035,100,1,9,"Pramipexole dihydrochloride 0.125 MG Oral Tablet [Mirapex]","Mirapex 0.125 MG Oral Tablet","SBD","ENG","N","C0715287",2
"Mirapex 0.25 MG Oral Tablet",23886,1,859042,100,1,6,"Pramipexole dihydrochloride 0.25 MG Oral Tablet [Mirapex]","Mirapex 0.25 MG Oral Tablet","SBD","ENG","N","C0715288",2
"Mirapex 1 MG Oral Tablet",23887,1,859054,100,1,8,"Pramipexole dihydrochloride 1 MG Oral Tablet [Mirapex]","Mirapex 1 MG Oral Tablet","SBD","ENG","N","C0715290",2
"Mirapex ER 0.375 MG Oral Tablet Extended Release 24 Hour",156140,1,901543,100,1,8,"24 HR Pramipexole dihydrochloride 0.375 MG Extended Release Oral Tablet [Mirapex]","24 HR Mirapex 0.375 MG Extended Release Oral Tablet","SBD","ENG","N","C2741615",2
"Mirapex ER 0.75 MG Oral Tablet Extended Release 24 Hour",156164,2,901547,100,1,8,"24 HR Pramipexole dihydrochloride 0.75 MG Extended Release Oral Tablet [Mirapex]","24 HR Mirapex 0.75 MG Extended Release Oral Tablet","SBD","ENG","N","C2741619",2
"Mirapex ER 1.5 MG Oral Tablet Extended Release 24 Hour",156156,2,901551,100,1,8,"24 HR Pramipexole dihydrochloride 1.5 MG Extended Release Oral Tablet [Mirapex]","24 HR Mirapex 1.5 MG Extended Release Oral Tablet","SBD","ENG","N","C2741623",2
"Mirapex ER 3 MG Oral Tablet Extended Release 24 Hour",156146,1,901557,100,1,5,"24 HR Pramipexole dihydrochloride 3 MG Extended Release Oral Tablet [Mirapex]","24 HR Mirapex 3 MG Extended Release Oral Tablet","SBD","ENG","N","C2741629",2
"Mirtazapine 15 MG Oral Tablet",111277,19,311725,100,1,24,"Mirtazapine 15 MG Oral Tablet","","SCD","ENG","N","C0978679",1
"Mirtazapine 30 MG Oral Tablet",111276,10,314111,100,1,23,"Mirtazapine 30 MG Oral Tablet","","SCD","ENG","N","C0981596",1
"Mirtazapine 30 MG Oral Tablet Dispersible",114979,1,314111,83,1,23,"Mirtazapine 30 MG Oral Tablet","","SCD","ENG","N","C0981596",1
"Mirtazapine 45 MG Oral Tablet",111297,4,311726,100,1,17,"Mirtazapine 45 MG Oral Tablet","","SCD","ENG","N","C0978680",1
"Mirtazapine 7.5 MG Oral Tablet",122534,3,476809,100,1,15,"Mirtazapine 7.5 MG Oral Tablet","","SCD","ENG","N","C1509556",1
"Misoprostol 100 MCG Oral Tablet",100260,1,311727,100,1,15,"Misoprostol 0.1 MG Oral Tablet","misoprostol 100 MCG Oral Tablet","SCD","ENG","N","C0978681",1
"Misoprostol 200 MCG Oral Tablet",100261,5,317128,100,1,15,"Misoprostol 0.2 MG Oral Tablet","misoprostol 200 MCG Oral Tablet","SCD","ENG","N","C0991715",1
"Mometasone Furoate 0.1 % External Cream",122970,4,311753,80,1,16,"mometasone furoate 1 MG/ML Topical Cream","mometasone furoate 0.1 % Topical Cream","SCD","ENG","N","C0978712",1
"Mometasone Furoate 0.1 % External Ointment",100262,3,151029,80,1,16,"mometasone furoate 0.001 MG/MG Topical Ointment","mometasone furoate 0.1 % Topical Ointment","SCD","ENG","N","C0590311",1
"MonoNessa 0.25-35 MG-MCG Oral Tablet",111384,2,762003,100,1,11,"{21 (Ethinyl Estradiol 0.035 MG / norgestimate 0.25 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack [MonoNessa 28 Day]","MonoNessa 28 Day Pack","BPCK","ENG","N","C1815677",12
"Morphine Sulfate 15 MG Oral Tablet",18557,2,892582,100,1,15,"Morphine Sulfate 15 MG Oral Tablet","MS 15 MG Oral Tablet","SCD","ENG","N","C0689665",1
"Motrin 40 MG/ML Oral Suspension",97647,1,854762,100,1,8,"Ibuprofen 40 MG/ML Oral Suspension [Motrin]","Motrin 40 MG/ML Oral Suspension","SBD","ENG","N","C0708072",2
"Motrin IB 200 MG Oral Tablet",16252,1,201126,100,1,10,"Ibuprofen 200 MG Oral Tablet [Motrin]","Motrin 200 MG Oral Tablet","SBD","ENG","N","C0697656",2
"Mucinex 600 MG Oral Tablet Extended Release 12 Hour",115286,5,891301,100,1,14,"12 HR Guaifenesin 600 MG Extended Release Oral Tablet [Mucinex]","Mucinex 600 MG 12 HR Extended Release Oral Tablet","SBD","ENG","N","C2729583",2
"Mucinex D 120-1200 MG Oral Tablet Extended Release 12 Hour",137789,1,891297,82,1,4,"12 HR Guaifenesin 1200 MG Extended Release Oral Tablet [Mucinex]","Mucinex 1200 MG 12 HR Extended Release Oral Tablet","SBD","ENG","N","C2729580",2
"Mucinex D 60-600 MG Oral Tablet Extended Release 12 Hour",132482,1,1310621,92,1,8,"12 HR Guaifenesin 600 MG / Pseudoephedrine Hydrochloride 60 MG Extended Release Oral Tablet [Mucinex D]","Mucinex D (guaifenesin 600 MG / pseudoephedrine hydrochloride 60 MG) 12 HR Extended Release Oral Tablet","SBD","ENG","N","C2729582",2
"Mucinex DM 30-600 MG Oral Tablet Extended Release 12 Hour",122908,2,1298326,92,1,8,"12 HR Dextromethorphan Hydrobromide 30 MG / Guaifenesin 600 MG Extended Release Oral Tablet [Mucinex DM]","Mucinex DM (dextromethorphan hydrobromide 30 MG / guaifenesin 600 MG) 12 HR Extended Release Oral Tablet","SBD","ENG","N","C2729581",2
"Mucinex DM Maximum Strength 60-1200 MG Oral Tablet Extended Release 12 Hour",137709,1,1298299,93,1,7,"12 HR Dextromethorphan Hydrobromide 60 MG / Guaifenesin 1200 MG Extended Release Oral Tablet [Mucinex DM]","Mucinex DM (dextromethorphan hydrobromide 60 MG / guaifenesin 1200 MG) 12 HR Extended Release Oral Tablet","SBD","ENG","N","C2729579",2
"Multaq 400 MG Oral Tablet",153126,2,854859,100,1,8,"dronedarone 400 MG Oral Tablet [Multaq]","Multaq 400 MG Oral Tablet","SBD","ENG","N","C2709704",2
"Mupirocin 2 % External Ointment",115187,45,106346,75,1,14,"Mupirocin 0.02 MG/MG Topical Ointment","mupirocin 2 % Topical Ointment","SCD","ENG","N","C0358142",1
"Mycophenolate Mofetil 250 MG Oral Capsule",152224,2,199058,100,1,24,"mycophenolate mofetil 250 MG Oral Capsule","","SCD","ENG","N","C0692278",1
"Mycophenolate Mofetil 500 MG Oral Tablet",152251,14,200060,100,1,16,"mycophenolate mofetil 500 MG Oral Tablet","","SCD","ENG","N","C0693889",1
